,as.factor(sample_cluster),n,mean,sd,min,Q1,median,Q3,max
Mageeibacillus_indolicus.8,8,18,24053,15244,3575,12459,20821,36672,55630
Mageeibacillus_indolicus.9,9,16,12113,9209,2736,6223,10697,14145,41944
Mageeibacillus_indolicus.10,10,15,19153,16335,3083,6201,13895,29614,58345
Malacoplasma_girerdii,1,33,116782,241301,657,1553,11242,100307,1169729
Megasphaera_hutchinsoni.1,1,182,69036,109666,2186,13111,33103,67594,943225
Megasphaera_hutchinsoni.2,2,70,45806,45681,2401,12480,26977,64025,234456
Megasphaera_hutchinsoni.3,3,40,7730,18586,1610,2260,3371,6344,119846
Megasphaera_hutchinsoni.4,4,31,85960,96604,9583,21688,46668,102846,349141
Megasphaera_lornae.1,1,337,99728,144986,5639,34054,63907,116510,2024495
Megasphaera_lornae.2,2,141,18998,25048,2007,6027,10166,21283,190900
Megasphaera_lornae.3,3,112,133265,152905,5085,38559,88250,198683,1303826
Megasphaera_lornae.4,4,93,206547,184624,8213,100422,154847,242899,1293815
Megasphaera_lornae.5,5,88,147194,164815,2664,50006,110363,174800,995676
Megasphaera_lornae.6,6,38,237788,260388,27835,82998,145066,303244,1437744
Metamycoplasma_hominis.1,1,98,2497,5766,515,948,1384,2307,55836
Metamycoplasma_hominis.2,2,69,4622,7560,705,1555,2888,4034,46235
Metamycoplasma_hominis.3,3,48,17969,30222,1608,6222,9189,15535,189302
Metamycoplasma_hominis.4,4,47,9577,15317,807,2118,3733,9166,82930
Metamycoplasma_hominis.5,5,34,37897,74209,1824,4707,13327,30677,379564
Metamycoplasma_hominis.6,6,23,1495,1005,610,956,1212,1515,5151
Metamycoplasma_hominis.7,7,17,3912,4204,627,1287,2305,4047,14686
Metamycoplasma_hominis.8,8,12,3741,3686,936,1525,2315,4093,13345
Mobiluncus_curtisii.1,1,145,26187,39248,1822,5619,11225,28569,276234
Mobiluncus_curtisii.2,2,53,79494,267429,2124,5235,15091,57700,1884283
Mobiluncus_curtisii.3,3,24,20057,38359,2473,4167,6497,15811,182669
