sampleID,Project
343963_MG,LSVF
343980_MG,LSVF
343982_MG,LSVF
343990_MG,LSVF
343991_MG,LSVF
343995_MG,LSVF
343999_MG,LSVF
344000_MG,LSVF
344001_MG,LSVF
344005_MG,LSVF
344009_MG,LSVF
344010_MG,LSVF
344013_MG,LSVF
344015_MG,LSVF
344019_MG,LSVF
344020_MG,LSVF
344021_MG,LSVF
344025_MG,LSVF
344027_MG,LSVF
344030_MG,LSVF
344032_MG,LSVF
344035_MG,LSVF
344038_MG,LSVF
344041_MG,LSVF
344043_MG,LSVF
344046_MG,LSVF
344048_MG,LSVF
344049_MG,LSVF
344054_MG,LSVF
344056_MG,LSVF
344059_MG,LSVF
344061_MG,LSVF
344062_MG,LSVF
344066_MG,LSVF
344070_MG,LSVF
344071_MG,LSVF
344076_MG,LSVF
344078_MG,LSVF
344081_MG,LSVF
344082_MG,LSVF
344086_MG,LSVF
344088_MG,LSVF
344091_MG,LSVF
344095_MG,LSVF
344098_MG,LSVF
344102_MG,LSVF
344105_MG,LSVF
344109_MG,LSVF
344114_MG,LSVF
344118_MG,LSVF
344119_MG,LSVF
344121_MG,LSVF
344124_MG,LSVF
344125_MG,LSVF
344129_MG,LSVF
344130_MG,LSVF
344134_MG,LSVF
344135_MG,LSVF
344139_MG,LSVF
344140_MG,LSVF
344144_MG,LSVF
344145_MG,LSVF
348298_MG,LSVF
MG_0052RFLQV1,XPENN
MG_0139RFLQV1,XPENN
MG_0183RFLQV1,XPENN
MG_0226RFLQV1,XPENN
MG_0254RFLQV1,XPENN
MG_0262RFLQV1,XPENN
MG_0269RFLQV1,XPENN
MG_0273RFLQV1,XPENN
MG_0277RFLQV1,XPENN
MG_0279RFLQV1,XPENN
MG_0283AFLQV1,XPENN
MG_0285RFLQV1,XPENN
MG_0295RFLQV1,XPENN
MG_0321RFLQV1,XPENN
MG_0325RFLQV1,XPENN
MG_0330RFLQV1,XPENN
MG_0338RFLQV1,XPENN
MG_0342RFLQV1,XPENN
MG_0345RFLQV1,XPENN
MG_0350RFLQV1,XPENN
MG_0365RFLQV1,XPENN
MG_0371RFLQV1,XPENN
MG_0383RFLQV1,XPENN
MG_0384RFLQV1,XPENN
MG_0387RFLQV1,XPENN
MG_0388RFLQV1,XPENN
MG_0400RFLQV1,XPENN
MG_0403RFLQV1,XPENN
MG_0406RFLQV1,XPENN
MG_0407RFLQV1,XPENN
MG_0411RFLQV1,XPENN
MG_0412RFLQV1,XPENN
MG_0419RFLQV1,XPENN
MG_0422RFLQV1,XPENN
MG_0426RFLQV1,XPENN
MG_0431RFLQV1,XPENN
MG_0440RFLQV1,XPENN
MG_0449RFLQV1,XPENN
MG_0450RFLQV1,XPENN
MG_0451RFLQV1,XPENN
MG_0455RFLQV1,XPENN
MG_0457RFLQV1,XPENN
MG_0462RFLQV1,XPENN
MG_0466RFLQV1,XPENN
MG_0470RFLQV1,XPENN
MG_0471RFLQV1,XPENN
MG_0481RFLQV1,XPENN
MG_0482RFLQV1,XPENN
MG_0484RFLQV1,XPENN
MG_0490RFLQV1,XPENN
MG_0491RFLQV1,XPENN
MG_0494RFLQV1,XPENN
MG_0497RFLQV1,XPENN
MG_0503RFLQV1,XPENN
MG_0505RFLQV1,XPENN
MG_0509RFLQV1,XPENN
MG_0521RFLQV1,XPENN
MG_0526RFLQV1,XPENN
MG_0532RFLQV1,XPENN
MG_0533RFLQV1,XPENN
MG_0537RFLQV1,XPENN
MG_0542RFLQV1,XPENN
MG_0545RFLQV1,XPENN
MG_0555RFLQV1,XPENN
MG_0557RFLQV1,XPENN
MG_0563RFLQV1,XPENN
MG_0573RFLQV1,XPENN
MG_0574RFLQV1,XPENN
MG_0577RFLQV1,XPENN
MG_0580RFLQV1,XPENN
MG_0600RFLQV1,XPENN
MG_0602RFLQV1,XPENN
MG_0616RFLQV1,XPENN
MG_0620RFLQV1,XPENN
MG_0624RFLQV1,XPENN
MG_0626RFLQV1,XPENN
MG_0631RFLQV1,XPENN
MG_0632RFLQV1,XPENN
MG_0633RFLQV1,XPENN
MG_0634RFLQV1,XPENN
MG_0635RFLQV1,XPENN
MG_0639RFLQV1,XPENN
MG_0642RFLQV1,XPENN
MG_0644RFLQV1,XPENN
MG_0645RFLQV1,XPENN
MG_0648RFLQV1,XPENN
MG_0650RFLQV1,XPENN
MG_0653RFLQV1,XPENN
MG_0663RFLQV1,XPENN
MG_0665RFLQV1,XPENN
MG_0671RFLQV1,XPENN
MG_0674RFLQV1,XPENN
MG_0687RFLQV1,XPENN
MG_0698RFLQV1,XPENN
MG_0699RFLQV1,XPENN
MG_0718RFLQV1,XPENN
MG_0733RFLQV1,XPENN
MG_0779RFLQV1,XPENN
MG_0787RFLQV1,XPENN
MG_0801RFLQV1,XPENN
MG_0806RFLQV1,XPENN
MG_0808RFLQV1,XPENN
MG_0818RFLQV1,XPENN
MG_0835RFLQV1,XPENN
MG_0841RFLQV1,XPENN
MG_0845RFLQV1,XPENN
MG_0846RFLQV1,XPENN
MG_0857RFLQV1,XPENN
MG_0867RFLQV1,XPENN
MG_0869RFLQV1,XPENN
MG_0879RFLQV1,XPENN
MG_0930RFLQV1,XPENN
MG_0942RFLQV1,XPENN
MG_0960RFLQV1,XPENN
MG_0962RFLQV1,XPENN
MG_0963RFLQV1,XPENN
MG_0969RFLQV1,XPENN
MG_0996RFLQV1,XPENN
MG_1005RFLQV1,XPENN
MG_1009RFLQV1,XPENN
MG_1020RFLQV1,XPENN
MG_1023RFLQV1,XPENN
MG_1024RFLQV1,XPENN
MG_1050901179,Gates-Stanford
MG_1050901209,Gates-Stanford
MG_1050901239,Gates-Stanford
MG_1050901289,Gates-Stanford
MG_1050901329,Gates-Stanford
MG_1052RFLQV1,XPENN
MG_1058RFLQV1,XPENN
MG_1060901199,Gates-Stanford
