dtc,meanRelabund,domTaxa,minClusterSize,deepSplit,mgCST,color_mgCST
5,0.6425756127054733,Lactobacillus_iners_4,11,2,11,#FFBD6D
12,0.6485966884851313,Lactobacillus_iners_5,11,2,12,#FFCD91
8,0.6829658559505328,Lactobacillus_iners_6,11,2,13,#FFDEB6
20,0.7592623851065965,Lactobacillus_iners_7,11,2,14,#FFEEDA
6,0.3940245173025669,UBA629_sp005465875_1,11,2,15,#448A73
15,0.4844488319619967,Gardnerella_vaginalis_2,11,2,16,#C7C5E0
13,0.2666854033768036,Gardnerella_swidsinkii_1,11,2,17,#827DBA
4,0.2874358016356634,Gardnerella_swidsinkii_2,11,2,18,#8E8AC0
1,0.2422917250729616,MultiGenera,11,2,19,#8c8c8c
2,0.4912641602501382,Limosilactobacillus_oris,11,2,20,#8c8c8c
9,0.8405851111556855,Lactobacillus_crispatus_1,11,3,1,#FF0000
11,0.8117584386405232,Lactobacillus_crispatus_2,11,3,2,#FF1919
6,0.8643502635506987,Lactobacillus_crispatus_3,11,3,3,#FF3333
20,0.8175721451739782,Lactobacillus_crispatus_4,11,3,4,#FF4C4C
26,0.8320116122909413,Lactobacillus_crispatus_5,11,3,5,#FF6666
18,0.8724524352608115,Lactobacillus_crispatus_6,11,3,6,#FF7F7F
24,0.7762565985533046,Lactobacillus_crispatus_7,11,3,7,#FF9999
21,0.8615226336749823,Lactobacillus_crispatus_8,11,3,8,#FFB2B2
32,0.6363056346136052,Lactobacillus_gasseri_1,11,3,9,#86BF4D
30,0.6550759289434165,Lactobacillus_gasseri_2,11,3,10,#C2DFA6
10,0.5483186717779636,Lactobacillus_iners_1,11,3,11,#FF8C00
7,0.7769133321298963,Lactobacillus_iners_2,11,3,12,#FF9C24
15,0.402193724594676,Lactobacillus_iners_2,11,3,13,#FF9C24
4,0.6425756127054733,Lactobacillus_iners_4,11,3,14,#FFBD6D
12,0.6485966884851313,Lactobacillus_iners_5,11,3,15,#FFCD91
8,0.6829658559505328,Lactobacillus_iners_6,11,3,16,#FFDEB6
27,0.7592623851065965,Lactobacillus_iners_7,11,3,17,#FFEEDA
31,0.6945362463217604,Lactobacillus_jensenii_2,11,3,18,#FAE82B
34,0.7044081809312849,Lactobacillus_jensenii_3,11,3,19,#FBEB49
5,0.3940245173025669,UBA629_sp005465875_1,11,3,20,#448A73
22,0.3226739570313777,UBA629_sp005465875_3,11,3,21,#8EB8AB
25,0.4103114120141257,UBA629_sp005465875_4,11,3,22,#B4D0C7
19,0.4844488319619967,Gardnerella_vaginalis_2,11,3,23,#C7C5E0
3,0.208977104494153,Gardnerella_vaginalis_C_1,11,3,24,#B9B6D9
16,0.2666854033768036,Gardnerella_swidsinkii_1,11,3,25,#827DBA
17,0.2610554326404734,Gardnerella_swidsinkii_2,11,3,26,#8E8AC0
14,0.241133527856783,Gardnerella_swidsinkii_7,11,3,27,#CDCBE3
28,0.5253343505481927,Gardnerella_piotii_1,11,3,28,#3D3495
2,0.4378478305734926,Bifidobacterium_breve_2,11,3,29,#D5FFD5
1,0.240539396348035,MultiGenera,11,3,30,#8c8c8c
13,0.2033299953033036,MultiGenera,11,3,31,#8c8c8c
29,0.4651729581806886,Lactobacillus_paragasseri_1,11,3,32,#0D4018
23,0.392122802974128,Limosilactobacillus_oris,11,3,33,#8c8c8c
33,0.580188131808472,Lactobacillus_mulieris_1,11,3,34,#A16060
7,0.8405851111556855,Lactobacillus_crispatus_1,11,4,1,#FF0000
8,0.8117584386405232,Lactobacillus_crispatus_2,11,4,2,#FF1919
4,0.8643502635506987,Lactobacillus_crispatus_3,11,4,3,#FF3333
21,0.8175721451739782,Lactobacillus_crispatus_4,11,4,4,#FF4C4C
31,0.8320116122909413,Lactobacillus_crispatus_5,11,4,5,#FF6666
17,0.8724524352608115,Lactobacillus_crispatus_6,11,4,6,#FF7F7F
27,0.7762565985533046,Lactobacillus_crispatus_7,11,4,7,#FF9999
22,0.8615226336749823,Lactobacillus_crispatus_8,11,4,8,#FFB2B2
44,0.6363056346136052,Lactobacillus_gasseri_1,11,4,9,#86BF4D
41,0.6550759289434165,Lactobacillus_gasseri_2,11,4,10,#C2DFA6
15,0.6475698222098262,Lactobacillus_iners_1,11,4,11,#FF8C00
32,0.3312067802082639,Lactobacillus_iners_1,11,4,12,#FF8C00
5,0.7769133321298963,Lactobacillus_iners_2,11,4,13,#FF9C24
11,0.402193724594676,Lactobacillus_iners_2,11,4,14,#FF9C24
2,0.6425756127054733,Lactobacillus_iners_4,11,4,15,#FFBD6D
9,0.6485966884851313,Lactobacillus_iners_5,11,4,16,#FFCD91
6,0.6829658559505328,Lactobacillus_iners_6,11,4,17,#FFDEB6
35,0.7592623851065965,Lactobacillus_iners_7,11,4,18,#FFEEDA
43,0.6945362463217604,Lactobacillus_jensenii_2,11,4,19,#FAE82B
46,0.7044081809312849,Lactobacillus_jensenii_3,11,4,20,#FBEB49
3,0.3940245173025669,UBA629_sp005465875_1,11,4,21,#448A73
25,0.3226739570313777,UBA629_sp005465875_3,11,4,22,#8EB8AB
29,0.4103114120141257,UBA629_sp005465875_4,11,4,23,#B4D0C7
23,0.3296438920742154,Gardnerella_vaginalis_1,11,4,24,#908BC2
19,0.4844488319619967,Gardnerella_vaginalis_2,11,4,25,#C7C5E0
14,0.2274848054546407,Gardnerella_vaginalis_C_1,11,4,26,#B9B6D9
33,0.2220211651496204,Gardnerella_vaginalis_C_3,11,4,27,#E7E6F2
30,0.1873846521179547,Gardnerella_vaginalis_F_1,11,4,28,#E3E2EF
18,0.1980253669982367,Gardnerella_vaginalis_H_1,11,4,29,#F1F0F7
12,0.2666854033768036,Gardnerella_swidsinkii_1,11,4,30,#827DBA
16,0.2610554326404734,Gardnerella_swidsinkii_2,11,4,31,#8E8AC0
42,0.2185268038562904,Gardnerella_swidsinkii_4,11,4,32,#A7A4CE
38,0.2359657951717524,Gardnerella_swidsinkii_6,11,4,33,#C0BEDC
37,0.2418687074376176,Gardnerella_swidsinkii_7,11,4,34,#CDCBE3
40,0.2670057097824053,Gardnerella_swidsinkii_8,11,4,35,#D9D8EA
36,0.5253343505481927,Gardnerella_piotii_1,11,4,36,#3D3495
10,0.606825202898103,Bifidobacterium_breve_2,11,4,37,#D5FFD5
1,0.2411694137851849,MultiGenera,11,4,38,#8c8c8c
13,0.1909820574107562,MultiGenera,11,4,39,#8c8c8c
20,0.2093265316481618,MultiGenera,11,4,40,#8c8c8c
24,0.1956839869934938,MultiGenera,11,4,41,#8c8c8c
34,0.1749180965894091,MultiGenera,11,4,42,#8c8c8c
